shortName,symbol,fullExchangeName,dividendDate,trailingAnnualDividendRate,trailingAnnualDividendYield
Ashford Hospitality Trust Inc,AHT,NYSE,2020-07-15 19:00:00,0.0,0.0
American Century Select High Yi,AHYB,NYSEArca,,,
"C3.ai, Inc.",AI,NYSE,,0.0,0.0
iShares Asia 50 ETF,AIA,NasdaqGM,2018-06-24 19:00:00,,
AIB Acquisition Corporation,AIB,NasdaqGM,,0.0,0.0
AIB Acquisition Corporation,AIBBU,NasdaqGM,,0.0,0.0
Arlington Asset Investment Corp,AIC,NYSE,2023-03-14 19:00:00,2.2,0.09298394
AI Powered Equity ETF,AIEQ,NYSEArca,,,
Apollo Tactical Income Fund Inc,AIF,NYSE,2019-02-19 18:00:00,1.176,0.098
"American International Group, I",AIG,NYSE,2023-03-30 19:00:00,1.28,0.026868178
Aesthetic Medical International,AIH,NasdaqCM,,0.0,0.0
Senmiao Technology Limited,AIHS,NasdaqCM,,0.0,0.0
Listed Funds Trust Alpha Intell,AILG,NYSEArca,,,
Listed Funds Trust Alpha Intell,AILV,NYSEArca,,,
AIM ImmunoTech Inc.,AIM,NYSE American,2019-06-10 19:00:00,0.0,0.0
Aimfinity Investment Corp. I,AIMAU,NasdaqGM,,0.0,0.0
Aimfinity Investment Corp. I Wa,AIMAW,NasdaqGM,,0.0,0.0
Aimfinity Investment Corp. I - ,AIMBU,NasdaqGM,,0.0,0.0
Altra Industrial Motion Corp.,AIMC,NasdaqGS,2023-04-03 19:00:00,0.35,0.005694761
"Ainos, Inc.",AIMD,NasdaqCM,,0.0,0.0
AINOS INC C/WTS 29/07/2027 (TO ,AIMDW,NasdaqCM,,0.0,0.0
Albany International Corporatio,AIN,NYSE,2023-04-09 19:00:00,0.88,0.009876544
Ashford Inc. (Holding Company),AINC,NYSE American,,0.0,0.0
AllianzGI Artificial Intelligen,AIO,NYSE,2021-01-31 18:00:00,0.0,0.0
"Arteris, Inc.",AIP,NasdaqGM,,0.0,0.0
Global X Artificial Intelligenc,AIQ,NasdaqGM,,0.0,0.0
AAR Corp.,AIR,NYSE,2020-04-08 19:00:00,0.0,0.0
Apartment Income REIT Corp.,AIRC,NYSE,2023-02-27 18:00:00,1.8,0.04975124
"Airgain, Inc.",AIRG,NasdaqCM,,0.0,0.0
Air Industries Group,AIRI,NYSE American,2015-11-30 18:00:00,0.0,0.0
First Trust RBA American Indust,AIRR,NasdaqGM,2017-03-30 19:00:00,,
"AirSculpt Technologies, Inc.",AIRS,NasdaqGM,2022-09-13 19:00:00,0.0,0.0
"Air T, Inc.",AIRT,NasdaqGM,2019-06-06 19:00:00,0.0,0.0
"Air T, Inc. - Trust Preferred S",AIRTP,NasdaqGM,2023-11-14 18:00:00,0.0,0.0
Applied Industrial Technologies,AIT,NYSE,2023-02-27 18:00:00,1.36,0.010181164
Meta Data Limited,AIU,NYSE,,0.0,0.0
